dataset,test_set,language_pair,pair_index,system_a,system_b,metric,annotations_saved,corr_sq,human_threshold_status
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,BERTScore-refA:seg,3.0,0.024896005211573386,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,BLEU-refA:seg,2.0,0.010641358581842108,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,BLEURT-20-refA:seg,19.0,0.14832704210800535,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMET-20-refA:seg,13.0,0.1141101681724287,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMET-22-refA:seg,13.0,0.19847798900235547,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMET-QE-src:seg,4.0,0.08244273451336447,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMETKiwi-src:seg,5.0,0.13817628347251862,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,Cross-QE-src:seg,4.0,0.13522468086598025,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,HWTSC-TLM-src:seg,1.0,0.011593221196582725,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,HWTSC-Teacher-Sim-src:seg,1.0,0.005913147069526433,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,KG-BERTScore-src:seg,0.0,0.007303407760731788,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MATESE-QE-src:seg,0.0,0.03968219778182718,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MATESE-refA:seg,0.0,0.07683627160243063,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MEE-refA:seg,2.0,0.01827003977626687,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MEE2-refA:seg,3.0,0.023562154341876536,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MEE4-refA:seg,4.0,0.03041141039382369,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MS-COMET-22-refA:seg,2.0,0.05255136293562723,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MS-COMET-QE-22-src:seg,1.0,0.037810444435605155,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,REUSE-src:seg,0.0,0.01305443894384905,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,SEScore-refA:seg,2.0,0.0648751198238487,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,UniTE-ref-refA:seg,14.0,0.1519785983947754,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,UniTE-refA:seg,18.0,0.17082176689427248,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,UniTE-src-src:seg,7.0,0.11785980687856012,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,YiSi-1-refA:seg,3.0,0.02825886769647706,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,chrF-refA:seg,5.0,0.021930130315567117,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,f101spBLEU-refA:seg,2.0,0.013930226139672444,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,f200spBLEU-refA:seg,3.0,0.015061419831270148,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,metricx_xl_DA_2019-refA:seg,20.0,0.16235618229685647,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,metricx_xl_MQM_2020-refA:seg,13.0,0.21790267389561727,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,metricx_xxl_DA_2019-refA:seg,16.0,0.15632641136439995,brentq
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,metricx_xxl_MQM_2020-refA:seg,15.0,0.19088500640457148,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,BERTScore-refA:seg,3.0,0.019287884972354397,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,BLEU-refA:seg,5.0,0.012712111187020784,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,BLEURT-20-refA:seg,10.0,0.02810095260143521,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,COMET-20-refA:seg,15.0,0.05761186913426284,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,COMET-22-refA:seg,13.0,0.06455669827326226,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,COMET-QE-src:seg,4.0,0.0267884885442193,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,COMETKiwi-src:seg,7.0,0.020265415610413777,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,Cross-QE-src:seg,6.0,0.03782600446079271,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,HWTSC-TLM-src:seg,2.0,0.008970411507216159,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,HWTSC-Teacher-Sim-src:seg,9.0,0.010771358675329953,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,KG-BERTScore-src:seg,4.0,0.00969397256200006,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MATESE-QE-src:seg,1.0,0.005059053497255439,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MATESE-refA:seg,6.0,0.018446924497922092,brentq
