dataset,test_set,language_pair,pair_index,system_a,system_b,metric,population_size_M,true_effect,human_threshold_L_h,human_threshold_status,human_lower_power,human_upper_power,metric_threshold_L_k,metric_threshold_status,metric_lower_power,metric_upper_power,annotations_saved,num_trials,alpha,target_power
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,BERTScore-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,127.0,brentq,0.204,1.0,3.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,BLEU-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,128.0,brentq,0.171,1.0,2.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,BLEURT-20-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,111.0,brentq,0.162,1.0,19.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMET-20-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,117.0,brentq,0.146,1.0,13.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMET-22-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,117.0,brentq,0.146,1.0,13.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMET-QE-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,126.0,brentq,0.165,1.0,4.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,COMETKiwi-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,125.0,brentq,0.146,1.0,5.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,Cross-QE-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,126.0,brentq,0.12,1.0,4.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,HWTSC-TLM-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,129.0,brentq,0.154,1.0,1.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,HWTSC-Teacher-Sim-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,129.0,brentq,0.185,1.0,1.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,KG-BERTScore-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,130.0,brentq,0.168,1.0,0.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MATESE-QE-src:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,130.0,brentq,0.112,1.0,0.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MATESE-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,130.0,brentq,0.099,1.0,0.0,1000,0.05,0.8
wmt22 en-de,wmt22,en-de,6,Online-W,Online-G,MEE-refA:seg,1315,0.4357414448669201,130.0,brentq,0.058,1.0,128.0,brentq,0.174,1.0,2.0,1000,0.05,0.8
