rho,metric_mean,labeled_size,unlabeled_size,method,method_label,rejection_count,num_trials,num_permutations,type_i_error
0.3,0.0,20,800,ppi_perm,PPI Perm.,467,10000,1000,0.0467
0.3,0.0,20,800,ppi_perm_uncentered,PPI Perm. (uncentered),467,10000,1000,0.0467
0.3,0.0,40,800,ppi_perm,PPI Perm.,463,10000,1000,0.0463
0.3,0.0,40,800,ppi_perm_uncentered,PPI Perm. (uncentered),460,10000,1000,0.046
0.3,0.0,60,800,ppi_perm,PPI Perm.,473,10000,1000,0.0473
0.3,0.0,60,800,ppi_perm_uncentered,PPI Perm. (uncentered),472,10000,1000,0.0472
0.3,0.0,80,800,ppi_perm,PPI Perm.,482,10000,1000,0.0482
0.3,0.0,80,800,ppi_perm_uncentered,PPI Perm. (uncentered),481,10000,1000,0.0481
0.3,0.0,100,800,ppi_perm,PPI Perm.,544,10000,1000,0.0544
0.3,0.0,100,800,ppi_perm_uncentered,PPI Perm. (uncentered),544,10000,1000,0.0544
0.3,0.0,120,800,ppi_perm,PPI Perm.,472,10000,1000,0.0472
0.3,0.0,120,800,ppi_perm_uncentered,PPI Perm. (uncentered),474,10000,1000,0.0474
0.3,0.0,140,800,ppi_perm,PPI Perm.,470,10000,1000,0.047
0.3,0.0,140,800,ppi_perm_uncentered,PPI Perm. (uncentered),475,10000,1000,0.0475
0.3,0.0,160,800,ppi_perm,PPI Perm.,519,10000,1000,0.0519
0.3,0.0,160,800,ppi_perm_uncentered,PPI Perm. (uncentered),516,10000,1000,0.0516
0.3,0.0,180,800,ppi_perm,PPI Perm.,483,10000,1000,0.0483
0.3,0.0,180,800,ppi_perm_uncentered,PPI Perm. (uncentered),482,10000,1000,0.0482
0.3,0.0,200,800,ppi_perm,PPI Perm.,536,10000,1000,0.0536
0.3,0.0,200,800,ppi_perm_uncentered,PPI Perm. (uncentered),535,10000,1000,0.0535
0.3,1.0,20,800,ppi_perm,PPI Perm.,525,10000,1000,0.0525
0.3,1.0,20,800,ppi_perm_uncentered,PPI Perm. (uncentered),610,10000,1000,0.061
0.3,1.0,40,800,ppi_perm,PPI Perm.,506,10000,1000,0.0506
0.3,1.0,40,800,ppi_perm_uncentered,PPI Perm. (uncentered),541,10000,1000,0.0541
0.3,1.0,60,800,ppi_perm,PPI Perm.,506,10000,1000,0.0506
0.3,1.0,60,800,ppi_perm_uncentered,PPI Perm. (uncentered),524,10000,1000,0.0524
0.3,1.0,80,800,ppi_perm,PPI Perm.,476,10000,1000,0.0476
0.3,1.0,80,800,ppi_perm_uncentered,PPI Perm. (uncentered),497,10000,1000,0.0497
0.3,1.0,100,800,ppi_perm,PPI Perm.,502,10000,1000,0.0502
0.3,1.0,100,800,ppi_perm_uncentered,PPI Perm. (uncentered),508,10000,1000,0.0508
0.3,1.0,120,800,ppi_perm,PPI Perm.,524,10000,1000,0.0524
0.3,1.0,120,800,ppi_perm_uncentered,PPI Perm. (uncentered),526,10000,1000,0.0526
0.3,1.0,140,800,ppi_perm,PPI Perm.,507,10000,1000,0.0507
0.3,1.0,140,800,ppi_perm_uncentered,PPI Perm. (uncentered),510,10000,1000,0.051
0.3,1.0,160,800,ppi_perm,PPI Perm.,442,10000,1000,0.0442
